i.id;oa.id;i.name;oa.name;i.geo;oa.geo;dist (m);matching_name
344;https://openalex.org/I39063666;Università degli Studi di Catania;University of Catania;37.5179934, 15.0712414;37.49223, 15.07041;2866.0;True
349;https://openalex.org/I138938424;UNIVERSITÀ DEGLI STUDI DELLA TUSCIA;Università degli Studi della Tuscia;42.4271062, 12.0909921;42.41937, 12.1056;1476.0;True
354;https://openalex.org/I159595087;Greek Atomic Energy Commission;Greek Atomic Energy Commission;37.993157, 23.732804;37.98376, 23.72784;1132.0;True
357;https://openalex.org/I160013858;ISTITUTO NAZIONALE DI FISICA NUCLEARE;Istituto Nazionale di Fisica Nucleare;45.2374279, 12.1514341;41.89193, 12.51133;373130.0;True
361;https://openalex.org/I887064364;UNIVERSITEIT VAN AMSTERDAM;University of Amsterdam;52.3688003, 4.8901187;52.37403, 4.88969;582.0;True
363;https://openalex.org/I4210103180;Instituto Português de Oncologia de Francisco Gentil;Instituto Português de Oncologia Francisco Gentil;38.8254493, -9.3003143;38.71667, -9.13333;18865.0;False
365;https://openalex.org/I157674565;Université de Liège;University of Liège;50.5782636, 5.5792582;50.63373, 5.56749;6223.0;True
367;https://openalex.org/I79238269;UNIVERSIDAD DE SEVILLA;Universidad de Sevilla;37.3819784, -5.9916914;37.38283, -5.97317;1639.0;True
368;https://openalex.org/I4387152992;STOCKHOLM UNIVERSITET;Östersjöcentrum;59.3630892, 18.060547;59.32938, 18.06871;3777.0;False
370;https://openalex.org/I8901234;FORTH;Foundation for Research and Technology Hellas;;35.32787, 25.14341;;False
380;https://openalex.org/I74656192;Georg-August-Universität Göttingen;University of Göttingen;51.54022, 9.93895;51.53443, 9.93228;792.0;True
381;https://openalex.org/I116067653;UNIVERSITÀ DEGLI STUDI DI ROMA TOR VERGATA;University of Rome Tor Vergata;41.8558508, 12.6305285;41.89193, 12.51133;10654.0;True
383;https://openalex.org/I47367911;United Kingdom Atomic Energy Authority;United Kingdom Atomic Energy Authority;;51.67109, -1.28278;;True
384;https://openalex.org/I103320735;THE UNIVERSITY OF MILANO;Università Cattolica del Sacro Cuore;45.4769217, 9.2304129;45.46427, 9.18951;3486.0;False
385;https://openalex.org/I8204097;LUDWIG-MAXIMILIANS UNIVERSITY OF MUNICH;Ludwig-Maximilians-Universität München;48.1507471, 11.580612;48.13743, 11.57549;1529.0;False
389;https://openalex.org/I205274468;Trinity College;Trinity College Dublin;53.41291, -8.24389;53.33306, -6.24889;132640.0;False
390;https://openalex.org/I173063890;University of Utrecht;University of Applied Sciences Utrecht;52.132633, 5.291265999999999;52.09083, 5.12222;12444.0;False
394;https://openalex.org/I71999127;UNIVERSITAT DE BARCELONA;Universitat de Barcelona;41.3911031, 2.1701583;41.38879, 2.15899;967.0;True
395;https://openalex.org/I71052956;UNIVERSITY OF READING;University of Reading;;51.45625, -0.97113;;True
397;https://openalex.org/I148297040;TNO;Netherlands Organisation for Applied Scientific Research;52.0289431, 4.3419811;52.00667, 4.35556;2645.0;False
398;https://openalex.org/I4210139293;Comunidad de Madrid;Comunidad de Madrid;40.4113025, -3.6699276;40.4165, -3.70256;2823.0;True
402;https://openalex.org/I124357947;University of London;University of London;51.51121389999999, -0.1198244;51.50853, -0.12574;507.0;True
405;https://openalex.org/I4210112634;LAMS;Laboratoire d’Archéologie Moléculaire et Structurale;52.132633, 5.291265999999999;48.85341, 2.3488;419777.0;False
413;https://openalex.org/I4210086792;Hannah Research Institute;Hannah Research Foundation;55.458564, -4.629179000000001;55.46273, -4.63393;552.0;True
418;https://openalex.org/I7478328;REGIONAL TECHNICAL COLLEGE;Waterford Institute of Technology;53.1545067, -6.8938231;52.25833, -7.11194;100728.0;True
422;https://openalex.org/I4210121514;GAIKER;GAIKER Technology Centre;43.2605506, -2.9260166;43.286, -2.87;5346.0;False
423;https://openalex.org/I175051016;UNIVERSIDAD PUBLICA DE NAVARRA;Universidad Publica de Navarra;42.8134525, -1.64915;42.81687, -1.64323;614.0;True
428;https://openalex.org/I100066346;STUTTGART;University of Stuttgart;48.7510235, 9.0885339;48.78232, 9.17702;7360.0;False
432;https://openalex.org/I32597200;Universiteit Gent;Ghent University;51.0364816, 3.7222772;51.05, 3.71667;1553.0;True
442;https://openalex.org/I124055696;UNIVERSITY OF COPENHAGEN;University of Copenhagen;55.67969, 12.572029;55.67594, 12.56553;583.0;True
449;https://openalex.org/I134820265;CSIC;Consejo Superior de Investigaciones Científicas;40.4254358, -3.6866305;40.4165, -3.70256;1675.0;False
450;https://openalex.org/I133731052;UNIVERSITY OF HELSINKI;University of Helsinki;60.226708, 25.015215;60.16952, 24.93545;7737.0;True
451;https://openalex.org/I28166907;Karolinska Institute;Karolinska Institutet;59.23633, 17.9821561;59.32938, 18.06871;11455.0;True
453;https://openalex.org/I45084792;UNIVERSITY OF FLORENCE;University of Florence;43.8000174, 11.244246;43.77925, 11.24626;2315.0;True
458;https://openalex.org/I130828816;UNIVERSITY OF LEEDS;University of Leeds;53.8023935, -1.5456339;53.79648, -1.54785;673.0;True
462;https://openalex.org/I4210106965;ATHENS TECHNOLOGY CENTER;Athens Technology Center (Greece);;38.02369, 23.80068;;False
465;https://openalex.org/I172446870;Università degli Studi di Cagliari;University of Cagliari;39.2282416, 9.1112326;39.23054, 9.11917;730.0;True
469;https://openalex.org/I4210099170;CITEVE;Centro Tecnológico das Indústrias Têxtil e do Vestuário de Portugal;39.39987199999999, -8.224454;41.40797, -8.51978;224686.0;False
476;https://openalex.org/I2800582552;Liverpool Institute for Performing Arts;The Liverpool Institute for Performing Arts;53.4083714, -2.9915726;53.41058, -2.97794;936.0;False
484;https://openalex.org/I4210122849;PHILIPS;Philips (Netherlands);40.46366700000001, -3.74922;52.37403, 4.88969;1478254.0;False
489;https://openalex.org/I4210107250;DANMARKS RADIO;Danmarks Radio;56.26392, 9.501785;55.67594, 12.56553;201528.0;True
491;https://openalex.org/I1336375059;Goethe Institute;Goethe Institute;48.1351253, 11.5819806;51.50853, -0.12574;918502.0;True
492;https://openalex.org/I4210142071;Danish Ministry of Education;Danish Ministry of Higher Education and Science;56.26392, 9.501785;55.67594, 12.56553;201528.0;False
512;https://openalex.org/I4210123921;KONINKLIJKE BIBLIOTHEEK;National Library of the Netherlands;52.132633, 5.291265999999999;52.07667, 4.29861;68081.0;True
516;https://openalex.org/I2800449262;Royal Commission on Historical Monuments;Royal Commission on the Ancient and Historical Monuments of Wales;55.378051, -3.435973;52.41548, -4.08292;332135.0;False
525;https://openalex.org/I4210152130;Govern Balears;Govern de les Illes Balears;40.46366700000001, -3.74922;39.56939, 2.65024;553841.0;False
538;https://openalex.org/I39586589;Swansea University;Swansea University;51.6140249, -3.9831907;51.62079, -3.94323;2860.0;True
540;https://openalex.org/I4210167259;FUNDESCO;Fundación para el Desarrollo de la Función Social de las Comunicaciones;40.4196973, -3.6911635;40.4165, -3.70256;1028.0;False
541;https://openalex.org/I93627455;TAVISTOCK INSTITUTE OF HUMAN RELATIONS;Tavistock Institute;51.5467186, -0.1743638;51.50853, -0.12574;5417.0;True
553;https://openalex.org/I4210164492;Ente Nazionale ACLI Istruzione Professionale;Ente Nazionale ACLI Istruzione Professionale;41.8810835, 12.4691808;41.89193, 12.51133;3692.0;True
557;https://openalex.org/I4210110175;Schmolz & Bickenbach;Schmolz Bickenbach (Germany);51.2266482, 6.6931044;51.44362, 7.35258;51778.0;False
565;https://openalex.org/I2802937056;Brooklands College;Brooklands College;51.366552, -0.460389;51.14648, 0.87376;96012.0;True
567;https://openalex.org/I21370196;UNIVERSITY OF THESSALONIKI;Aristotle University of Thessaloniki;;40.64361, 22.93086;;False
572;https://openalex.org/I1295435021;British Museum;British Museum;51.51121389999999, -0.1198244;51.50853, -0.12574;507.0;True
574;https://openalex.org/I1285180899;Museu Nacional d'Art de Catalunya;Museu Nacional d'Art de Catalunya;40.46366700000001, -3.74922;41.38879, 2.15899;506808.0;True
585;https://openalex.org/I21370196;Aristotle University of Thessaloniki;Aristotle University of Thessaloniki;;40.64361, 22.93086;;True
